price,brand
6300,toyota
2899,ford
5350,dodge
25000,ford
27700,chevrolet
5700,dodge
7300,chevrolet
13350,gmc
14600,chevrolet
5250,ford
10400,dodge
12920,gmc
31900,chevrolet
5430,chrysler
20700,ford
12710,gmc
5200,kia
16500,buick
5210,ford
38100,ford
12520,gmc
7300,kia
15000,chevrolet
6180,ford
20800,ford
11900,gmc
21500,kia
12000,buick
4190,ford
13000,ford
12710,gmc
18500,infiniti
29800,chevrolet
5330,ford
13000,ford
11900,gmc
16600,mercedes-benz
19200,chevrolet
7320,ford
7000,ford
12710,gmc
16600,mercedes-benz
30500,chevrolet
6330,ford
55000,ford
12520,gmc
16200,jeep
19000,chevrolet
5580,dodge
54000,ford
12710,gmc
16000,jeep
27000,buick
7760,ford
19600,chrysler
12920,gmc
20000,jeep
18100,buick
23000,chrysler
18500,chrysler
13490,gmc
20700,jeep
17800,chevrolet
6650,ford
29100,chrysler
12710,gmc
21100,jeep
18600,chevrolet
4340,ford
19300,chrysler
12780,gmc
15800,jeep
29400,bmw
4430,ford
19400,chrysler
12520,gmc
15900,jeep
26400,buick
4140,ford
18300,chrysler
12520,gmc
17900,jeep
18300,chevrolet
4640,ford
24000,ford
13200,gmc
18000,jeep
14900,chevrolet
4140,ford
11500,ford
9110,ford
7350,chrysler
24500,bmw
9300,ford
39800,dodge
53500,bmw
15110,ford
34000,ford
26502,chevrolet
5990,ford
13600,ford
23605,cadillac
10780,ford
13800,ford
25201,cadillac
7070,ford
8700,ford
18003,chevrolet
8530,ford
23100,dodge
24500,cadillac
7000,ford
17000,ford
34002,chevrolet
6980,ford
25000,dodge
20802,chevrolet
9200,ford
26500,chrysler
24802,chevrolet
7070,ford
28500,ford
47500,cadillac
23500,ford
23505,chevrolet
10940,ford
32100,ford
53000,chevrolet
6830,ford
11900,dodge
26414,chevrolet
4160,dodge
19405,chevrolet
5690,dodge
25900,chrysler
24005,chevrolet
5090,dodge
19500,chrysler
32012,chevrolet
6800,dodge
4260,dodge
0,dodge
31802,chevrolet
7210,dodge
0,dodge
28402,chevrolet
6800,dodge
33300,cadillac
10780,dodge
6700,ford
20000,chevrolet
6440,chrysler
19900,ford
37000,chevrolet
4040,dodge
22300,ford
31200,chevrolet
4290,dodge
22800,ford
19002,cadillac
4160,dodge
18500,ford
39000,bmw
6060,dodge
28800,ford
40000,bmw
6140,dodge
21000,ford
20105,buick
6760,dodge
25800,ford
39000,bmw
5470,dodge
14600,ford
24502,chevrolet
15110,ford
7900,ford
27305,chevrolet
15290,ford
26500,ford
25502,chevrolet
7320,ford
3800,chevrolet
24502,chevrolet
4140,ford
1400,dodge
18402,cadillac
4160,ford
175,chrysler
24503,chevrolet
15840,ford
20500,ford
21003,chevrolet
4200,ford
17400,ford
32001,chevrolet
0,ford
15700,ford
31009,chevrolet
3740,ford
5000,dodge
31002,chevrolet
3160,ford
8600,dodge
6000,chevrolet
12990,ford
25,chevrolet
13200,buick
4410,ford
25,chrysler
22500,chevrolet
7420,ford
13500,ford
15500,chevrolet
3540,ford
17000,ford
45500,chevrolet
4130,ford
15700,ford
45500,chevrolet
4130,ford
15500,dodge
16300,chevrolet
4530,ford
15600,dodge
45500,chevrolet
4100,ford
18200,dodge
10200,chevrolet
4080,ford
5700,ford
10200,chevrolet
5000,ford
1700,ford
6200,bmw
3650,ford
10500,dodge
43500,chevrolet
4610,dodge
3450,ford
38500,chevrolet
6810,ford
2900,ford
43500,chevrolet
4450,ford
5800,ford
16500,chevrolet
4240,dodge
26500,ford
13700,chevrolet
8600,ford
8000,ford
14200,chevrolet
7040,ford
4700,ford
30851,chevrolet
4880,ford
14500,dodge
7600,chevrolet
13270,ford
12800,ford
33000,chevrolet
9280,ford
900,ford
7560,ford
19500,ford
17100,chevrolet
8020,ford
10300,ford
22600,chevrolet
10480,ford
10300,ford
22700,chevrolet
7410,ford
10300,ford
10300,chevrolet
7570,ford
67000,dodge
18900,chevrolet
12560,ford
33000,dodge
18300,chevrolet
11760,ford
31700,dodge
25,dodge
0,ford
7340,ford
8200,hyundai
3000,kia
6530,jeep
0,mazda
12700,kia
13800,kia
0,chevrolet
725,ford
7400,ford
9800,hyundai
0,honda
4400,jeep
10330,infiniti
1800,chevrolet
50,chevrolet
720,ford
22800,ford
2500,ford
0,ford
9190,gmc
10900,jeep
10400,infiniti
0,chevrolet
0,chevrolet
7320,chevrolet
22809,ford
0,ford
0,ford
5520,gmc
10900,jeep
6330,jeep
0,chevrolet
25,chevrolet
2320,dodge
23702,ford
0,ford
0,ford
5520,gmc
4050,heartland
14810,infiniti
25,chevrolet
2960,chrysler
24800,ford
0,ford
0,ford
6270,gmc
1880,heartland
10050,infiniti
225,chevrolet
26900,chevrolet
1420,chrysler
27003,ford
0,ford
350,ford
5600,gmc
6680,heartland
10120,infiniti
0,chevrolet
3920,ford
23100,ford
0,gmc
5630,gmc
0,heartland
2800,jaguar
0,chevrolet
8850,ford
18712,ford
0,ford
0,ford
6300,gmc
2220,heartland
6930,jeep
25,chevrolet
3440,ford
50412,ford
25,ford
950,ford
9270,gmc
11380,jeep
5350,hyundai
2725,chevrolet
3790,ford
40514,ford
0,ford
0,ford
9190,gmc
10330,infiniti
1000,acura
2925,bmw
3830,ford
43402,ford
1025,gmc
17200,honda
54680,harley-davidson
6940,honda
13080,infiniti
25,chevrolet
10630,ford
43009,ford
25,gmc
4600,ford
4950,honda
3760,hyundai
3900,acura
0,cadillac
3830,ford
53500,ford
25,ford
25,ford
6240,honda
4150,jeep
25,jeep
61200,bmw
0,buick
13500,bmw
6490,ford
51502,ford
250,ford
25,ford
8160,honda
7770,jeep
200,jeep
25,audi
0,chevrolet
1825,bmw
39800,bmw
9210,ford
58500,ford
125,ford
3960,honda
5998,hyundai
3700,honda
0,kia
0,audi
0,bmw
5000,gmc
15050,infiniti
3960,hyundai
36300,lincoln
55600,lexus
2630,nissan
5690,nissan
19500,audi
450,chevrolet
20400,cadillac
4320,chevrolet
33001,ford
10000,ford
0,ford
5790,gmc
14750,infiniti
4010,hyundai
40000,mercedes-benz
13000,kia
3550,nissan
3040,nissan
0,chevrolet
36400,audi
4480,ford
31003,ford
75,ford
8850,gmc
14750,infiniti
4690,hyundai
23000,land
46900,land
10740,mercedes-benz
3160,nissan
0,chevrolet
3450,chrysler
27102,ford
500,gmc
5100,gmc
15010,infiniti
5800,jeep
23200,land
8000,hyundai
3390,nissan
3140,nissan
25,chevrolet
15000,bmw
10440,chevrolet
23911,ford
25,ford
21400,gmc
5380,gmc
11000,jeep
4950,jeep
22500,land
30300,maserati
2630,nissan
3140,nissan
2300,chevrolet
4310,chevrolet
26012,ford
75,ford
48500,gmc
3330,gmc
11200,jeep
4730,hyundai
24900,mercedes-benz
29400,mercedes-benz
8350,nissan
475,peterbilt
3210,nissan
25,chevrolet
4200,chevrolet
8430,chevrolet
25503,ford
0,ford
26000,gmc
3900,honda
11200,jeep
8610,jeep
28000,mercedes-benz
84900,mercedes-benz
10840,lexus
100,peterbilt
11050,ram
0,chevrolet
1000,chevrolet
3570,dodge
25001,ford
0,ford
5630,gmc
11100,jeep
4650,hyundai
0,lincoln
3820,nissan
0,peterbilt
2900,nissan
50,chevrolet
5100,chevrolet
4700,dodge
29502,ford
0,ford
6160,honda
10910,jeep
3440,hyundai
16000,mazda
3810,kia
1025,peterbilt
3020,nissan
0,chevrolet
2000,chevrolet
3870,ford
24811,ford
75,ford
5420,honda
11100,jeep
4750,hyundai
17900,mercedes-benz
3800,nissan
3160,nissan
25,chevrolet
1200,chevrolet
6470,chevrolet
26400,ford
0,gmc
32500,gmc
6900,honda
11030,jeep
3460,hyundai
18000,mercedes-benz
3250,hyundai
3210,nissan
13200,chevrolet
27705,ford
7200,chevrolet
28714,ford
11200,chevrolet
27502,ford
11900,chevrolet
29314,ford
11200,chevrolet
27002,ford
13200,chevrolet
28214,ford
12700,chevrolet
29900,ford
12700,chevrolet
27202,ford
13500,chevrolet
27705,ford
14700,chevrolet
29900,ford
4500,chevrolet
27705,ford
8000,chevrolet
25511,ford
7700,chevrolet
29900,ford
7200,chevrolet
27502,ford
4500,chevrolet
27402,ford
1500,chevrolet
26602,ford
10200,chevrolet
29900,ford
14000,chevrolet
28500,ford
8000,chevrolet
29809,ford
36900,chevrolet
26902,ford
10950,chevrolet
27402,ford
16900,acura
25600,ford
29700,bmw
27702,ford
13500,buick
27102,ford
27102,ford
25811,ford
26602,ford
27102,ford
37500,buick
26211,ford
24205,ford
37500,cadillac
27111,ford
27411,ford
27302,ford
27202,ford
26311,ford
26602,ford
33500,bmw
27511,ford
21500,buick
27200,ford
26511,ford
24002,ford
21500,buick
18511,ford
14000,kia
29000,buick
23402,ford
13300,kia
19700,bmw
23211,ford
15500,kia
18111,ford
21500,kia
25511,ford
17700,chevrolet
28000,chevrolet
14000,chevrolet
21700,chevrolet
13500,chevrolet
35500,chevrolet
29500,chevrolet
25300,chevrolet
21500,chevrolet
25900,chevrolet
35300,chevrolet
13500,chevrolet
62000,chevrolet
46000,chevrolet
9000,chevrolet
25900,chevrolet
25800,chevrolet
17000,chevrolet
12800,chevrolet
47400,chevrolet
24400,chevrolet
17100,chevrolet
7400,chevrolet
33100,chevrolet
22000,chevrolet
35000,chevrolet
16500,chevrolet
35300,chevrolet
26900,chevrolet
11600,chevrolet
28100,chevrolet
27700,chevrolet
17700,chevrolet
16600,chevrolet
63200,chevrolet
36800,chevrolet
19500,chevrolet
38800,chevrolet
37500,chevrolet
35000,chevrolet
31100,chevrolet
22600,chevrolet
22400,chevrolet
22700,chevrolet
13700,chevrolet
37100,chevrolet
18500,chevrolet
18300,chevrolet
19000,chevrolet
18500,chevrolet
22500,chevrolet
14500,chevrolet
32800,chevrolet
12300,chevrolet
19600,chevrolet
13600,chevrolet
7200,chevrolet
19900,chevrolet
13000,chevrolet
19700,chevrolet
9400,chevrolet
23800,chevrolet
17700,chevrolet
17000,chevrolet
14000,chevrolet
32100,chevrolet
33100,chevrolet
31600,chevrolet
5100,chevrolet
4100,chevrolet
7200,chevrolet
12800,chevrolet
46800,chevrolet
21800,chevrolet
3000,chevrolet
22500,chevrolet
35300,chevrolet
16500,chevrolet
33000,chevrolet
31500,chevrolet
34500,chevrolet
8000,chevrolet
25000,chevrolet
10700,chevrolet
13400,chevrolet
16500,chevrolet
34000,chevrolet
14100,chevrolet
38600,chevrolet
9100,chevrolet
8600,chevrolet
22000,chevrolet
8900,chevrolet
15500,chevrolet
3300,chevrolet
29000,chevrolet
17300,chevrolet
30500,chevrolet
25000,chevrolet
2800,chevrolet
3300,chevrolet
36400,chevrolet
34800,chevrolet
20700,chevrolet
32200,chevrolet
35300,chevrolet
33500,chevrolet
13700,chevrolet
15900,chevrolet
33200,chevrolet
35500,chevrolet
29800,chevrolet
29800,chevrolet
29500,chevrolet
30300,chevrolet
24300,chevrolet
29800,chevrolet
29800,chevrolet
27500,chevrolet
10800,chevrolet
11500,chevrolet
10400,chevrolet
11400,chevrolet
11400,chevrolet
8000,chevrolet
3000,chevrolet
25000,chevrolet
12300,chevrolet
14100,chevrolet
9000,chevrolet
4200,chevrolet
22500,chevrolet
22600,chevrolet
22600,chevrolet
22500,chevrolet
10200,chevrolet
42700,chevrolet
21200,chevrolet
22700,chevrolet
22000,chevrolet
9600,chevrolet
10500,chevrolet
6700,chevrolet
14200,chevrolet
15500,chevrolet
35100,chevrolet
26300,chevrolet
15700,chevrolet
17600,chevrolet
18600,chevrolet
19100,chevrolet
15200,chevrolet
16100,chevrolet
14800,chevrolet
16700,chevrolet
15300,chevrolet
16500,chevrolet
19600,chevrolet
15200,chevrolet
15000,chevrolet
15500,chevrolet
15700,chevrolet
14800,chevrolet
9200,chevrolet
8200,chevrolet
11400,chevrolet
6500,chevrolet
11500,chevrolet
23800,chevrolet
8900,chevrolet
28300,chevrolet
27300,chevrolet
3500,chevrolet
28300,chevrolet
18300,chevrolet
22500,dodge
22500,dodge
8300,dodge
16500,dodge
14500,dodge
30000,dodge
30000,dodge
30000,dodge
30000,dodge
30000,dodge
29500,dodge
21600,dodge
22600,dodge
16300,dodge
8600,dodge
28800,dodge
22100,dodge
14300,dodge
13700,dodge
29500,dodge
18500,dodge
19000,dodge
43400,dodge
46000,dodge
12500,dodge
13900,dodge
13000,dodge
13000,dodge
3000,dodge
17500,dodge
7900,dodge
8900,dodge
11500,dodge
6500,dodge
8000,dodge
18700,dodge
8350,dodge
27900,dodge
14500,dodge
6200,dodge
7500,dodge
20200,dodge
29300,dodge
31000,dodge
32400,dodge
5800,dodge
21500,dodge
23100,dodge
4500,dodge
24800,dodge
23000,dodge
26900,dodge
21500,dodge
15700,dodge
15200,dodge
23300,dodge
6100,dodge
20000,dodge
53000,dodge
3000,dodge
18200,dodge
21800,dodge
52000,dodge
19000,dodge
25000,dodge
36000,dodge
17000,dodge
25300,dodge
14900,dodge
15000,dodge
12995,dodge
17750,dodge
10295,dodge
16995,dodge
25000,dodge
23995,dodge
14900,dodge
15810,dodge
20227,dodge
20999,dodge
22499,dodge
23495,dodge
25250,dodge
15322,dodge
21232,dodge
5800,dodge
29000,dodge
17000,dodge
13800,dodge
30000,dodge
14800,dodge
8500,dodge
9800,dodge
4200,dodge
2500,dodge
28700,dodge
18500,dodge
17300,dodge
7100,dodge
3250,dodge
30700,dodge
3000,dodge
26500,dodge
20800,dodge
20800,dodge
5100,dodge
18900,dodge
24000,dodge
38800,dodge
24500,dodge
24500,dodge
6500,dodge
24000,dodge
18000,dodge
24000,dodge
23500,dodge
4500,dodge
25900,dodge
13900,dodge
14200,dodge
15400,dodge
17500,dodge
17500,dodge
18000,dodge
25200,dodge
14100,dodge
13300,dodge
16200,dodge
13300,dodge
13100,dodge
15500,dodge
4500,dodge
28400,dodge
17400,dodge
6000,dodge
20700,dodge
20300,dodge
14000,dodge
22000,dodge
17200,dodge
15000,dodge
17500,dodge
1300,dodge
1750,dodge
16300,dodge
15700,dodge
10000,dodge
23100,dodge
14900,dodge
16700,dodge
16300,dodge
25800,dodge
23800,dodge
16800,dodge
15500,dodge
6000,dodge
26900,dodge
16900,dodge
19500,dodge
15400,dodge
2300,dodge
17000,dodge
34000,dodge
13700,dodge
19100,dodge
11800,dodge
27500,dodge
26900,dodge
27100,dodge
27200,dodge
9000,dodge
22500,dodge
7700,dodge
4500,dodge
2200,dodge
21500,dodge
18800,dodge
21800,dodge
20300,dodge
8200,dodge
19000,dodge
8400,dodge
19500,dodge
7000,dodge
19500,dodge
8500,dodge
20500,dodge
4900,dodge
20800,dodge
28500,dodge
21900,dodge
15800,dodge
33000,dodge
22700,dodge
21900,dodge
19300,dodge
30700,dodge
19300,dodge
13750,dodge
16400,dodge
19500,dodge
15100,dodge
28500,dodge
15300,dodge
20300,dodge
22000,dodge
16700,dodge
19300,dodge
34100,dodge
14600,dodge
18200,dodge
33800,dodge
15900,dodge
16500,dodge
29600,dodge
14100,dodge
18200,dodge
18200,dodge
24300,dodge
15400,dodge
19000,dodge
19000,dodge
27800,dodge
18200,dodge
15000,dodge
19200,dodge
15500,dodge
24900,dodge
15500,dodge
7600,dodge
18400,dodge
14700,dodge
3900,dodge
5200,dodge
17200,dodge
18700,dodge
32000,dodge
14500,dodge
19400,dodge
17300,dodge
16700,dodge
19100,dodge
11100,dodge
32000,dodge
16900,dodge
18000,dodge
17800,dodge
18000,dodge
17500,dodge
14500,dodge
18500,dodge
18600,dodge
32000,dodge
17000,dodge
16000,dodge
18000,dodge
15900,dodge
6200,dodge
3700,dodge
24000,dodge
20800,dodge
18500,dodge
18300,dodge
21000,dodge
1300,dodge
11900,dodge
950,dodge
26800,dodge
800,dodge
21000,dodge
1900,dodge
33500,dodge
900,dodge
21000,dodge
26800,dodge
5700,dodge
18500,dodge
33000,dodge
11000,dodge
15800,dodge
3600,dodge
16300,dodge
2700,dodge
12800,dodge
9700,dodge
18300,dodge
16000,dodge
21000,dodge
3700,dodge
33000,dodge
14700,dodge
33000,dodge
15900,dodge
33000,dodge
33000,dodge
32500,dodge
33000,dodge
13000,dodge
33000,dodge
16500,dodge
33000,dodge
34500,dodge
33500,dodge
48000,dodge
54500,dodge
13200,dodge
31500,dodge
17400,dodge
26000,dodge
1700,dodge
11000,dodge
21000,dodge
5500,dodge
7500,dodge
15800,dodge
16900,dodge
25000,dodge
18000,dodge
15600,dodge
23800,dodge
16800,dodge
22700,dodge
23300,dodge
23500,dodge
25500,dodge
21800,dodge
22800,dodge
18200,dodge
23500,dodge
25700,dodge
15700,dodge
17500,dodge
15700,dodge
16500,dodge
16100,dodge
15600,dodge
15400,dodge
28200,dodge
15300,dodge
15900,dodge
17700,dodge
15800,dodge
15900,dodge
25300,dodge
16300,dodge
29500,dodge
14500,dodge
15400,dodge
15400,dodge
15100,dodge
15000,dodge
15500,dodge
15000,dodge
15200,dodge
15700,dodge
16100,dodge
16300,dodge
16000,dodge
16900,dodge
17000,dodge
17300,dodge
15900,dodge
15700,dodge
16900,dodge
15500,dodge
15100,dodge
15500,dodge
15400,dodge
16500,dodge
42500,dodge
16600,dodge
15200,dodge
15800,dodge
16900,dodge
11100,dodge
15600,dodge
16900,dodge
15300,dodge
16600,dodge
21800,dodge
36500,dodge
26300,dodge
20900,dodge
20100,dodge
26700,dodge
